county,color,id
"Coles, IL",#54CC84,c17029
"Edgar, IL",#2FC169,c17045
"Douglas, IL",#2FC169,c17041
"Moultrie, IL",#2FC169,c17139
"Macon, IL",#2FC169,c17115
"Sangamon, IL",#2FC169,c17167
"Morgan, IL",#2FC169,c17137
"Scott, IL",#2FC169,c17171
"Pike, IL",#2FC169,c17149
"Brown, IL",#2FC169,c17009
"Adams, IL",#FFFFFF,c17001
"Hancock, IL",#2FC169,c17067
"McDonough, IL",#2FC169,c17109
"Schuyler, IL",#2FC169,c17169
"Cass, IL",#0CA44D,c17017
"Menard, IL",#2FC169,c17129
"Mason, IL",#2FC169,c17125
"Logan, IL",#2FC169,c17107
"De Witt, IL",#2FC169,c17039
"Piatt, IL",#2FC169,c17147
"Champaign, IL",#0CA44D,c17019
"Ford, IL",#2FC169,c17053
"McLean, IL",#2FC169,c17113
"Tazewell, IL",#FFFFFF,c17179
"Woodford, IL",#54CC84,c17203
"Peoria, IL",#2FC169,c17143
"Fulton, IL",#2FC169,c17057
"Warren, IL",#2FC169,c17187
"Henderson, IL",#2FC169,c17071
"Mercer, IL",#2FC169,c17131
"Knox, IL",#2FC169,c17095
"Stark, IL",#2FC169,c17175
"Marshall, IL",#2FC169,c17123
"Putnam, IL",#0F934A,c17155
"Livingston, IL",#2FC169,c17105
"Kankakee, IL",#2FC169,c17091
"Grundy, IL",#0CA44D,c17063
"Will, IL",#54CC84,c17197
"Kendall, IL",#2FC169,c17093
"LaSalle, IL",#2FC169,c17099
"Bureau, IL",#2FC169,c17011
"Henry, IL",#2FC169,c17073
"Rock Island, IL",#2FC169,c17161
"Lee, IL",#2FC169,c17103
"Whiteside, IL",#2FC169,c17195
"Carroll, IL",#0CA44D,c17015
"Ogle, IL",#0CA44D,c17141
"DeKalb, IL",#2FC169,c17037
"Kane, IL",#2FC169,c17089
"DuPage, IL",#2FC169,c17043
"Cook, IL",#54CC84,c17031
"Lake, IL",#2FC169,c17097
"McHenry, IL",#2FC169,c17111
"Boone, IL",#2FC169,c17007
"Winnebago, IL",#54CC84,c17201
"Stephenson, IL",#FFFFFF,c17177
"Jo Daviess, IL",#2FC169,c17085
"Porter, IN",#2FC169,c18127
"Lake, IN",#2FC169,c18089
"Perry, IN",#2FC169,c18123
"Spencer, IN",#2FC169,c18147
"Warrick, IN",#2FC169,c18173
"Vanderburgh, IN",#0F934A,c18163
"Posey, IN",#2FC169,c18129
"Gibson, IN",#0CA44D,c18051
"Pike, IN",#2FC169,c18125
"Dubois, IN",#2FC169,c18037
"Crawford, IN",#54CC84,c18025
"Harrison, IN",#2FC169,c18061
"Floyd, IN",#2FC169,c18043
"Clark, IN",#0CA44D,c18019
"Ohio, IN",#0F934A,c18115
"Switzerland, IN",#FFFFFF,c18155
"Jefferson, IN",#2FC169,c18077
"Scott, IN",#2FC169,c18143
"Washington, IN",#2FC169,c18175
"Orange, IN",#2FC169,c18117
"Martin, IN",#2FC169,c18101
"Daviess, IN",#2FC169,c18027
"Knox, IN",#2FC169,c18083
