county,color
"Madison, ID",#2FC169
"Teton, ID",#FFFFFF
"Vermilion, IL",#0F934A
"Iroquois, IL",#2FC169
"Alexander, IL",#0F934A
"Pulaski, IL",#0F934A
"Massac, IL",#2FC169
"Hardin, IL",#2FC169
"Pope, IL",#2FC169
"Johnson, IL",#2FC169
"Union, IL",#137046
"Gallatin, IL",#0CA44D
"Saline, IL",#2FC169
"Williamson, IL",#54CC84
"Jackson, IL",#2FC169
"Monroe, IL",#2FC169
"Randolph, IL",#0F934A
"Perry, IL",#2FC169
"Franklin, IL",#2FC169
"Hamilton, IL",#2FC169
"White, IL",#2FC169
"Jefferson, IL",#2FC169
"Washington, IL",#2FC169
"Clinton, IL",#0CA44D
"St. Clair, IL",#2FC169
"Madison, IL",#2FC169
"Bond, IL",#2FC169
"Marion, IL",#2FC169
"Wayne, IL",#2FC169
"Wabash, IL",#2FC169
"Edwards, IL",#2FC169
"Lawrence, IL",#2FC169
"Richland, IL",#2FC169
"Clay, IL",#0CA44D
"Jasper, IL",#2FC169
"Crawford, IL",#54CC84
"Clark, IL",#0CA44D
"Cumberland, IL",#2FC169
"Effingham, IL",#2FC169
"Fayette, IL",#2FC169
"Shelby, IL",#2FC169
"Montgomery, IL",#2FC169
"Jersey, IL",#2FC169
"Macoupin, IL",#2FC169
"Calhoun, IL",#0CA44D
"Greene, IL",#0CA44D
"Christian, IL",#0CA44D
"Coles, IL",#54CC84
"Edgar, IL",#2FC169
"Douglas, IL",#2FC169
"Moultrie, IL",#2FC169
"Macon, IL",#2FC169
"Sangamon, IL",#2FC169
"Morgan, IL",#2FC169
"Scott, IL",#2FC169
"Pike, IL",#2FC169
"Brown, IL",#2FC169
"Adams, IL",#FFFFFF
"Hancock, IL",#2FC169
"McDonough, IL",#2FC169
"Schuyler, IL",#2FC169
"Cass, IL",#0CA44D
"Menard, IL",#2FC169
"Mason, IL",#2FC169
"Logan, IL",#2FC169
"De Witt, IL",#2FC169
"Piatt, IL",#2FC169
"Champaign, IL",#0CA44D
"Ford, IL",#2FC169
"McLean, IL",#2FC169
"Tazewell, IL",#FFFFFF
"Woodford, IL",#54CC84
"Peoria, IL",#2FC169
"Fulton, IL",#2FC169
"Warren, IL",#2FC169
"Henderson, IL",#2FC169
"Mercer, IL",#2FC169
"Knox, IL",#2FC169
